0.000000	 0.376752	 0.184830	 0.789950
-0.239759	 -0.563017	 0.035000	 1.518985
-0.127744	 -0.123960	 -0.035000	 1.178382
-0.045094	 0.200000	 0.016650	 0.927067
-0.015730	 0.084904	 0.035000	 0.837780
0.056956	 -0.200000	 -0.010423	 0.616763
0.096284	 -0.045847	 -0.035000	 0.497178
0.159006	 0.200000	 0.004196	 0.306459
0.208299	 0.006791	 0.035000	 0.156575
0.261056	 -0.200000	 0.002031	 -0.003845
0.276235	 -0.140503	 -0.007455	 -0.050000
0.309123	 -0.011597	 -0.028007	 0.050000
0.320313	 0.032266	 -0.035000	 0.015973
0.342010	 0.117308	 -0.021441	 -0.050000
0.363106	 0.200000	 -0.008258	 0.014149
0.374897	 0.153786	 -0.000890	 0.050000
0.407784	 0.024880	 0.019662	 -0.050000
0.432328	 -0.071322	 0.035000	 0.024630
0.440671	 -0.104026	 0.029786	 0.050000
0.465157	 -0.200000	 0.014485	 -0.024453
0.473558	 -0.167068	 0.009234	 -0.050000
0.506445	 -0.038162	 -0.011318	 0.050000
0.539333	 0.090744	 -0.031870	 -0.050000
0.544342	 0.110379	 -0.035000	 -0.034768
0.567207	 0.200000	 -0.020711	 0.034757
0.572220	 0.180351	 -0.017579	 0.050000
0.605107	 0.051445	 0.002973	 -0.050000
0.637994	 -0.077461	 0.023525	 0.050000
0.656356	 -0.149435	 0.035000	 -0.005835
0.669257	 -0.200000	 0.026938	 -0.045061
0.670881	 -0.193633	 0.025923	 -0.050000
0.703768	 -0.064727	 0.005371	 0.050000
0.736655	 0.064179	 -0.015180	 -0.050000
0.768371	 0.188492	 -0.035000	 0.046437
0.769542	 0.193085	 -0.034268	 0.050000
0.771307	 0.200000	 -0.033165	 0.044635
0.802430	 0.078010	 -0.013716	 -0.050000
0.835317	 -0.050896	 0.006836	 0.050000
0.868204	 -0.179802	 0.027388	 -0.050000
0.873357	 -0.200000	 0.030608	 -0.034331
0.880385	 -0.172452	 0.035000	 -0.012960
0.901091	 -0.091292	 0.022060	 0.050000
0.933978	 0.037614	 0.001509	 -0.050000
0.966865	 0.166520	 -0.019043	 0.050000
0.975407	 0.200000	 -0.024381	 0.024027
0.992400	 0.133395	 -0.035000	 -0.027642
0.999752	 0.104575	 -0.030405	 -0.050000
1.032640	 -0.024331	 -0.009853	 0.050000
1.065527	 -0.153237	 0.010699	 -0.050000
1.077457	 -0.200000	 0.018154	 -0.013723
1.098414	 -0.117857	 0.031250	 0.050000
1.104414	 -0.094339	 0.035000	 0.031756
1.131301	 0.011049	 0.018198	 -0.050000
1.164188	 0.139955	 -0.002354	 0.050000
1.179507	 0.200000	 -0.011927	 0.003419
1.197075	 0.131139	 -0.022906	 -0.050000
1.216428	 0.055282	 -0.035000	 0.008847
1.229962	 0.002234	 -0.026542	 0.050000
1.262850	 -0.126672	 -0.005990	 -0.050000
1.281557	 -0.200000	 0.005700	 0.006885
1.295737	 -0.144422	 0.014561	 0.050000
1.328443	 -0.016226	 0.035000	 -0.049449
1.328624	 -0.015516	 0.034887	 -0.050000
1.361511	 0.113390	 0.014335	 0.050000
1.383607	 0.200000	 0.000527	 -0.017189
1.394398	 0.157704	 -0.006217	 -0.050000
1.427285	 0.028798	 -0.026769	 0.050000
1.440457	 -0.022831	 -0.035000	 0.009948
